filename,average_copy_length_gpt,average_highlight_length_gpt,average_mousewheel_distance_gpt,average_paste_length_gpt,average_prompt_duration_gpt,click_count_gpt,copy_count_gpt,delete_count_gpt,,highlight_count_gpt,idle_count_gpt,keypress_count_gpt,med_copy_length_gpt,med_highlight_length_gpt,med_idle_duration_gpt,med_mousewheel_distance_gpt,med_paste_length_gpt,med_prompt_duration_gpt,mousewheel_count_gpt,paste_count_gpt,total_idle_duration_gpt,total_mouse_movement_gpt,total_mousewheel_distance_gpt,totaltime_gpt,windowswitch_count_gpt,windowswitch_speed_gpt,average_copy_length_tasksheet,average_highlight_length_tasksheet,average_mousewheel_distance_tasksheet,average_paste_length_tasksheet,average_prompt_duration_tasksheet,click_count_tasksheet,copy_count_tasksheet,delete_count_tasksheet,,highlight_count_tasksheet,idle_count_tasksheet,keypress_count_tasksheet,med_copy_length_tasksheet,med_highlight_length_tasksheet,med_idle_duration_tasksheet,med_mousewheel_distance_tasksheet,med_paste_length_tasksheet,med_prompt_duration_tasksheet,mousewheel_count_tasksheet,paste_count_tasksheet,total_idle_duration_tasksheet,total_mouse_movement_tasksheet,total_mousewheel_distance_tasksheet,total_working_time_tasksheet,totaltime_tasksheet,score_AI,score_alone,score_overreliance
A2.json,337,203.36,99.99999885,0,24.57511111,47,1,212,,25,38,605,337,99,2008,99.99999885,0,15.799,145,0,76287,53245.77842,14499.99983,615.909,3,205.303,0,49,49.99999942,337,0,9,0,2,,2,4,53,0,49,2005,49.99999942,337,0,75,1,8022,23284.34481,3749.999957,617.08,617.08,32,61,-29
A3.json,0,6.333333333,86.23076923,946,19.374,22,0,114,,3,48,529,0,2,2002,102,946,11.604,312,1,96087,26918.72791,26904,804.573,4,201.14325,946,195.8,56.2345679,0,0,12,1,22,,5,29,438,946,2,2002,47,0,0,81,0,58043,9949.566533,4555,800.993,800.993,61,42,19
A4.json,19.18181818,96.53333333,63.63094606,1299,10.12166667,33,11,7,,15,40,108,16,14,2002,24.88830566,1299,10.037,69,1,80069,26747.64344,4390.535278,945.062,22,42.95736364,281.6,233.5833333,42.63376273,20.35294118,0,37,5,9,,12,53,92,27,24,2002,17.02758789,18,0,51,17,106222,31209.39086,2174.321899,870.951,870.951,51,45,6
A5.json,0,0,120.8333333,0,0,6,0,0,,0,5,0,0,0,2002,100,0,0,24,0,10181,5755.784963,2900,50.811,2,25.4055,0,0,111.7647059,1318,0,1,0,0,,0,7,0,0,0,2013,100,1318,0,17,1,14819,6156.377065,1900,62.504,62.504,65,55,10
A6.json,172.5,227.3333333,100.1908397,366.25,29.44583333,19,2,31,,3,59,75,172.5,337,2008,100,254.5,22.093,524,4,118473,17445.66794,52500,836.499,9,92.94433333,250.8333333,183.8571429,100,169.3333333,0,22,6,8,,14,18,1,90.5,142,2011.5,100,16,0,50,3,36165,21329.4968,5000,833.614,833.614,30,40,-10
B1.json,0,31.66666667,100.7407407,659.5,179.9676667,93,0,83,,24,66,569,0,25,2008,100,659.5,76.551,540,2,134185,60947.93419,54400,892.782,5,178.5564,0,0,100,0,0,1,0,0,,0,5,0,0,0,2011,100,0,0,2,0,10041,5134.461701,200,897.661,897.661,37,37,0
B2.json,375,238.375,100,1013,22.798,23,2,71,,8,44,0,375,375,2006,100,1013,8.188,147,2,89287,54044.47536,14700,872.299,6,145.3831667,1002.5,1103.333333,100,0,0,8,2,0,,3,9,0,1002.5,1305,2008,100,0,0,8,0,18062,14710.37124,800,899.183,899.183,37,48,-11
B3.json,24.57142857,16.41666667,14.00525526,564.3333333,41.92057143,58,14,88,,36,63,861,25.5,13,2001,4,377,16.49,1332,3,126068,34125.93051,18655,917.128,27,33.9677037,430.5,158.1071429,7.840717535,24.55,0,58,4,21,,28,46,106,220,29.5,2001,3.272856474,26,0,1088,20,92059,48305.4252,8530.700679,916.312,916.312,54,47,7
B5.json,35.42857143,34.76470588,102.4017467,144.0769231,103.759,111,28,17,,51,53,281,24.5,23,2007,100,23,30.195,458,13,106414,83610.53761,46900,942.298,25,37.69192,413.375,172,101.4705882,43.1,0,79,8,7,,25,40,83,213.5,23,2008,100,25.5,0,68,20,80341,57162.12774,6900,899.217,899.217,38,47,-9
C1.json,27,26.5,3.412552301,0,0,5,1,0,,2,24,0,27,26.5,2030,2,0,0,1195,0,52397,22806.17808,4078,559.014,19,29.42178947,125.1111111,99.52,5.401759531,25.83333333,0,77,18,8,,25,38,67,25.5,25,2002,3,25.5,0,1705,18,83042,68666.01842,9210,853.893,853.893,59,57,2
