filename,average_copy_length_tasksheet,average_highlight_length_tasksheet,average_mousewheel_distance_tasksheet,average_paste_length_tasksheet,average_prompt_duration_tasksheet,click_count_tasksheet,copy_count_tasksheet,delete_count_tasksheet,,highlight_count_tasksheet,idle_count_tasksheet,keypress_count_tasksheet,med_copy_length_tasksheet,med_highlight_length_tasksheet,med_idle_duration_tasksheet,med_mousewheel_distance_tasksheet,med_paste_length_tasksheet,med_prompt_duration_tasksheet,mousewheel_count_tasksheet,paste_count_tasksheet,total_idle_duration_tasksheet,total_mouse_movement_tasksheet,total_mousewheel_distance_tasksheet,total_working_time_tasksheet,totaltime_tasksheet
A2.json,0,49,49.99999942,337,0,9,0,2,,2,4,53,0,49,2005,49.99999942,337,0,75,1,8022,23284.34481,3749.999957,617.08,617.08
A3.json,946,195.8,56.2345679,0,0,12,1,22,,5,29,438,946,2,2002,47,0,0,81,0,58043,9949.566533,4555,800.993,800.993
A4.json,281.6,233.5833333,42.63376273,20.35294118,0,37,5,9,,12,53,92,27,24,2002,17.02758789,18,0,51,17,106222,31209.39086,2174.321899,870.951,870.951
A5.json,0,0,111.7647059,1318,0,1,0,0,,0,7,0,0,0,2013,100,1318,0,17,1,14819,6156.377065,1900,62.504,62.504
A6.json,250.8333333,183.8571429,100,169.3333333,0,22,6,8,,14,18,1,90.5,142,2011.5,100,16,0,50,3,36165,21329.4968,5000,833.614,833.614
B1.json,0,0,100,0,0,1,0,0,,0,5,0,0,0,2011,100,0,0,2,0,10041,5134.461701,200,897.661,897.661
B2.json,1002.5,1103.333333,100,0,0,8,2,0,,3,9,0,1002.5,1305,2008,100,0,0,8,0,18062,14710.37124,800,899.183,899.183
B3.json,430.5,158.1071429,7.840717535,24.55,0,58,4,21,,28,46,106,220,29.5,2001,3.272856474,26,0,1088,20,92059,48305.4252,8530.700679,916.312,916.312
B5.json,413.375,172,101.4705882,43.1,0,79,8,7,,25,40,83,213.5,23,2008,100,25.5,0,68,20,80341,57162.12774,6900,899.217,899.217
C1.json,125.1111111,99.52,5.401759531,25.83333333,0,77,18,8,,25,38,67,25.5,25,2002,3,25.5,0,1705,18,83042,68666.01842,9210,853.893,853.893
C2.json,125.1111111,99.52,5.401759531,25.83333333,0,77,18,8,,25,38,67,25.5,25,2002,3,25.5,0,1705,18,83042,68666.01842,9210,853.893,853.893
C3.json,25.8125,24.45,135.9223218,25.8125,0,75,16,67,,20,44,97,25.5,24,2011,133.3333252,25.5,0,206,16,95700,60945.97117,27999.99829,615.145,615.145
C4.json,1061.333333,913.3333333,103.5714286,470,0,15,6,0,,15,9,0,1095.5,377,2009,100,470,0,56,1,18082,23272.4601,5800,289.214,289.214
C5.json,490.3333333,168.3076923,113.9896373,34.625,0,65,3,44,,26,52,548,25,77.5,2013.5,100,26.5,0,386,8,118304,66238.34849,44000,923.115,923.115
C6.json,124.5882353,68.71428571,53.25292315,24.3125,0,87,17,10,,42,31,75,26,23,2128,11.88201904,25.5,0,112,16,71757,73830.29278,5964.327393,981.921,981.921
C7.json,24.13333333,24.13333333,16.67126623,24.13333333,0,33,15,4,,15,18,70,25,25,2007,5,25,0,1232,15,36150,19090.00231,20539,441.503,441.503
D1.json,889.3333333,848.5714286,102.3255814,337,0,16,3,1,,7,13,53,1299,1299,2115,100,337,0,43,1,29741,22003.47427,4400,779.544,779.544
D2.json,177.75,249.6666667,10.81237113,32,0,42,4,14,,9,20,8,180.5,337,2002,8,37,0,679,5,44173,27403.17146,7341.6,326.646,326.646
D3.json,126.8333333,289.7,11.44136192,21.25,0,40,12,15,,20,47,80,18,18,2001,7,19.5,0,793,16,94138,37322.71427,9073,772.593,772.593
D4.json,89.04166667,75.96153846,26.35780027,38.27777778,0,115,24,39,,52,34,78,19.5,23.5,2004,4.392003695,19.5,0,608,18,68133,80501.90577,16025.54256,492.685,492.685
D5.json,80.07692308,158.2727273,100,21.8,0,126,13,11,,55,38,72,21,24,2010,100,21,0,60,15,80909,84161.14161,6000,1202.145,1202.145
D6.json,1339,1339,11.48333333,337,0,8,1,1,,2,13,53,1339,1339,2001,6,337,0,240,1,26019,8692.056666,2756,243.863,243.863
