average_copy_length,average_highlight_length,average_mousewheel_distance,average_paste_length,average_prompt_duration,click_count,copy_count,delete_count,filename,highlight_count,idle_count,keypress_count,med_copy_length,med_highlight_length,med_idle_duration,med_mousewheel_distance,med_paste_length,med_prompt_duration,mousewheel_count,paste_count,total_focus_time,total_idle_duration,total_mouse_movement,total_mousewheel_distance,total_working_time,totaltime,windowswitch_count,windowswitch_speed
85.5,85.5,100.0,7.466666666666667,0,13,2,18,A1.json,2,28,44,85.5,85.5,2139.5,100,7,0,57,15,0,62738,47935.8541414766,5700,229.022,229.022,0,0
21.5,20.59090909090909,92.20779220779193,21.533333333333335,0,48,16,3,A2.json,22,36,68,21.0,19.5,2001.0,90.9090909090909,21,0,210,15,0,72032,50597.315236281705,19363.636363636306,776.63,776.63,0,0
21.88888888888889,20.608695652173914,100.0,21.5,0,46,18,15,A3.json,23,27,72,21.0,18,2011,100.0,19.5,0,310,16,0,54359,48929.716477913855,31000,719.373,719.373,0,0
84.6470588235294,94.86363636363636,100.0,21.533333333333335,0,93,17,7,A4.json,44,22,69,21,22.0,2008.0,100.0,21,0,246,15,0,44179,68473.49992380307,24600,500.488,500.488,0,0
777.0,777.0,94.40559440559444,337.0,0,10,1,5,A5.json,2,15,55,777,777.0,2007,90.9090909090909,337,0,26,1,0,30114,5248.114576562441,2454.5454545454554,321.075,321.075,0,0
467.5,338.0,0,21.6,0,18,2,18,A6.json,4,39,51,467.5,273.0,2012,0,21,0,0,15,0,86516,44380.55974451461,0,531.593,531.593,0,0
468.5,468.5,0.7532752133011358,29.58823529411765,0,29,2,1,A7.json,2,29,51,468.5,468.5,2004,0.4017940998077393,21,0,53,17,0,58152,20301.262568170012,39.923586304960196,401.233,401.233,0,0
777.0,777.0,0,21.533333333333335,0,23,1,0,A8.json,1,17,65,777,777,2010,0,21,0,0,15,0,34161,12683.029193558392,0,480.053,480.053,0,0
25.181818181818183,26.705882352941178,100.44444444444444,22.2,0,26,11,4,A9.json,17,17,46,23,24,2006,100,22.0,0,225,10,0,34120,24538.688911937606,22600,484.775,484.775,0,0
50.02127659574468,36.96666666666667,99.99999884597453,23.586206896551722,0,225,47,11,B1.json,120,66,41,25,16.0,2001.0,99.99999884597398,23,0,592,29,0,132060,122391.30515831156,59199.999316816924,921.11,921.11,0,0
863.0,519.1428571428571,100.0,44.111111111111114,0,42,2,10,B2.json,7,35,73,863.0,250,2005,100.0,26.5,0,26,18,0,70229,34814.0120984714,2600,542.308,542.308,0,0
429.0,352.3333333333333,100.0,27.6,0,28,4,1,B3.json,6,24,15,202.5,202.5,2006.5,100,28,0,27,15,0,48184,28930.317647112417,2700,642.3,642.3,0,0
55.81818181818182,47.23076923076923,103.40136054421768,22.77777777777778,0,78,33,1,B4.json,52,39,31,16,16.0,2008,100.0,23.0,0,294,18,0,78298,71046.82419342925,30400,1044.868,1044.868,0,0
1867.0,1867.0,100.0,375.0,0,9,1,7,B5.json,3,10,58,1867,1867,2008.5,100,375,0,45,1,0,20082,7652.810505154075,4500,435.913,435.913,0,0
138.8125,240.47058823529412,100.0,23.6,0,44,16,7,B6.json,17,52,72,24.0,25,2010.0,100.0,23,0,80,15,0,104479,32412.59268447266,8000,901.777,901.777,0,0
24.0625,24.0625,100.0,24.0625,0,32,16,30,B7.json,32,5,67,24.0,24.0,2003,100,24.0,0,125,16,0,10028,33103.08735530624,12500,269.859,269.859,0,0
627.0,136.14285714285714,104.8780487804878,25.333333333333332,0,49,3,2,C1.json,35,31,7,50,26,2008,100,25.5,0,41,24,0,62676,56912.05935734441,4300,548.997,548.997,0,0
32.26315789473684,30.59259259259259,102.85714285714286,24.2,0,58,19,0,C2.json,27,23,50,26,26,2013,100.0,25,0,70,15,0,50218,63926.09269211358,7200,622.569,622.569,0,0
24.2,23.09375,100.72992700729927,24.2,0,50,15,7,C3.json,32,14,72,25,24.0,2006.5,100,25,0,137,15,0,28096,27580.388728429276,13800,299.196,299.196,0,0
227.0,293.3333333333333,100.0,24.266666666666666,0,28,2,2,C4.json,3,18,64,227.0,426,2001.0,100.0,25,0,38,15,0,36016,20081.317888096033,3800,267.183,267.183,0,0
44.388888888888886,52.875,113.36336336336349,24.375,0,47,18,15,C5.json,24,21,78,26.0,25.5,2001,111.11111111111111,25.5,0,148,16,0,42020,50601.75711394951,16777.777777777796,602.16,602.16,0,0
1847.0,1232.0,100.0,27.0,0,24,1,2,C6.json,3,19,27,1847,1847,2007,100.0,28,0,24,15,0,38145,22058.531027631085,2400,482.592,482.592,0,0
