filename,totaltime,click_count,total_mouse_movement,mousewheel_count,total_mousewheel_distance,average_mousewheel_distance,copy_count,average_copy_length,paste_count,average_paste_length,delete_count,keypress_count,highlight_count,average_highlight_length,idle_count,average_idle_duration,total_idle_duration
1001,521.964,5,29609.19674073659,1020,14700.333221435547,14.412091393564262,1,4365.0,1,1639.0,0,0,2,4365.0,18,3052.1111111111113,54938
1002,887.004,48,30947.59418798072,5330,51121,9.591181988742964,3,809.3333333333334,6,153.16666666666666,75,533,17,418.5882352941176,34,3015.764705882353,102536
1003,260.212,11,16908.654850147937,873,3409,3.9049255441008017,0,0,1,1402.0,0,1,1,4326.0,6,3008.8333333333335,18053
1005,635.671,9,16753.729334372852,1735,22144,12.763112391930836,2,2598.5,2,1176.5,1,2,3,2022.6666666666667,26,3001.576923076923,78041
1006,888.691,46,81141.10774485051,712,75000,105.33707865168539,3,1466.6666666666667,5,136.0,8,62,22,309.27272727272725,44,3052.7954545454545,134323
1007,891.161,40,54117.45945054879,2397,38269,15.965373383395912,6,828.1666666666666,7,187.14285714285714,39,139,11,851.2727272727273,29,3001.137931034483,87033
1008,435.572,7,33921.34388286377,220,23700,107.72727272727273,1,4326.0,1,1476.0,0,0,3,4326.0,13,3007.923076923077,39103
1012,812.591,3,80745.7063760291,142,14200,100.0,2,2181.0,0,0,0,0,4,2181.0,18,3007.6666666666665,54138
1013,886.734,18,59858.573469412346,0,0,0,10,372.4,0,0,0,0,29,325.58620689655174,30,3006.733333333333,90202
1014,901.542,10,17786.05293413095,619,48721.240234375,78.70959650141357,1,4326.0,2,1293.5,62,100,4,1402.75,40,3010.325,120413
1015,805.054,12,37159.58715765743,148,16000,108.10810810810811,0,0,3,476.6666666666667,3,15,1,106.0,36,3008.1944444444443,108295
1016,202.182,65,37893.29349296299,129,13200,102.32558139534883,1,4326.0,2,180.5,0,0,51,304.4313725490196,4,3007.75,12031
1019,880.53,1,22244.230568884082,1812,7230,3.9900662251655628,0,0,0,0,0,0,0,0,30,3007.1,90213
1020,882.836,5,46785.80026899489,0,0,0,0,0,1,1071.0,0,0,3,4326.0,18,3006.3888888888887,54115
1030,592.889,13,46485.86418181286,187,23374.999071160997,124.99999503294652,1,4326.0,4,486.5,18,15,3,2910.0,15,3007.8,45117
1031,415.964,10,15454.630221420972,3253,23207,7.134030126037504,1,4326.0,1,1622.0,0,0,5,3363.8,23,3001.391304347826,69032
1033,803.406,20,68936.15195151893,190,19300,101.57894736842105,1,1476.0,6,117.83333333333333,9,21,1,1476.0,27,3023.259259259259,81628
1034,517.193,7,74286.15020869655,171,17200,100.58479532163743,1,4326.0,1,1025.0,0,6,1,4326.0,15,3007.4,45111
1035,871.147,39,83138.69388032626,146,14600,100.0,2,2168.5,9,74.66666666666667,58,465,5,1791.4,33,3008.2727272727275,99273
