filename,windowswitch_count_gpt,windowswitch_speed_gpt,totaltime_gpt,click_count_gpt,total_mouse_movement_gpt,mousewheel_count_gpt,total_mousewheel_distance_gpt,average_mousewheel_distance_gpt,med_mousewheel_distance_gpt,copy_count_gpt,average_copy_length_gpt,med_copy_length_gpt,paste_count_gpt,average_paste_length_gpt,med_paste_length_gpt,delete_count_gpt,keypress_count_gpt,highlight_count_gpt,average_highlight_length_gpt,med_highlight_length_gpt,idle_count_gpt,med_idle_duration_gpt,total_idle_duration_gpt,prompts_count_gpt,total_prompts_duration_gpt,total_prompts_length_gpt,med_prompts_length_gpt,totaltime_tasksheet,click_count_tasksheet,total_mouse_movement_tasksheet,mousewheel_count_tasksheet,total_mousewheel_distance_tasksheet,average_mousewheel_distance_tasksheet,med_mousewheel_distance_tasksheet,copy_count_tasksheet,average_copy_length_tasksheet,med_copy_length_tasksheet,paste_count_tasksheet,average_paste_length_tasksheet,med_paste_length_tasksheet,delete_count_tasksheet,keypress_count_tasksheet,highlight_count_tasksheet,average_highlight_length_tasksheet,med_highlight_length_tasksheet,idle_count_tasksheet,med_idle_duration_tasksheet,total_idle_duration_tasksheet,score_AI,score_alone,score_overreliance
A2.json,3,205.303,615.909,47,53245.778417095215,145,14499.999832666172,99.99999885,99.99999884597398,1,337,337,0,0,0,212,605,25,203.36,99,38,2008,76287,8,207.537,563,71,617.08,9,23284.34481,75,3749.9999567240247,49.99999942,49.99999942298699,0,0,0,1,337,337,2,53,2,49,49,4,2005,8022,32,61,-29
A3.json,4,201.14325,804.573,22,26918.72791245134,312,26904,86.23076923076923,102,0,0,0,1,946,946,114,529,3,6.333333333333333,2,48,2002,96087,9,174.366,528,40,800.993,12,9949.566532854222,81,4555,56.23456790123457,47,1,946,946,0,0,0,22,438,5,195.8,2,29,2002,58043,61,42,19
A4.json,22,42.95736363636364,945.062,33,26747.643437558152,69,4390.5352783203125,63.630946062613226,24.88830566,11,19.181818181818183,16,1,1299,1299,7,108,15,96.53333333333332,14,40,2002,80069,2,28.06,108,54,870.951,37,31209.390855906604,51,2174.3218994140625,42.63376273360907,17.02758789,5,281.6,27,17,20.352941176470587,18,9,92,12,233.58333333333331,24,53,2002,106222,51,45,6
A5.json,2,25.4055,50.811,6,5755.784963056039,24,2900,120.83333333333331,100,0,0,0,0,0,0,0,0,0,0,0,5,2002,10181,0,0,0,0,62.504,1,6156.377065191729,17,1900,111.76470588235294,100,0,0,0,1,1318,1318,0,0,0,0,0,7,2013,14819,65,55,10
A6.json,9,92.94433333333332,836.499,19,17445.667936095444,524,52500,100.19083969465647,100,2,172.5,172.5,4,366.25,254.5,31,75,3,227.33333333333331,337,59,2008,118473,11,2569.754,118,5,833.614,22,21329.496799023145,50,5000,100,100,6,250.83333333333331,90.5,3,169.33333333333334,16,8,1,14,183.8571428571429,142,18,2011.5,36165,30,40,-10
B1.json,5,178.5564,892.782,93,60947.93418697379,540,54400,100.74074074074076,100,0,0,0,2,659.5,659.5,83,569,24,31.666666666666668,25,66,2008,134185,4,688.0409999999999,709,70,897.661,1,5134.461701101278,2,200,100,100,0,0,0,0,0,0,0,0,0,0,0,5,2011,10041,37,37,0
B2.json,6,145.38316666666665,872.299,23,54044.47535515935,147,14700,100,100,2,375,375,2,1013,1013,71,0,8,238.375,375,44,2006,89287,0,0,0,0,899.183,8,14710.37123572949,8,800,100,100,2,1002.5,1002.5,0,0,0,0,0,3,1103.3333333333333,1305,9,2008,18062,37,48,-11
B3.json,27,33.967703703703705,917.128,58,34125.930510762046,1332,18655,14.005255255255255,4,14,24.571428571428573,25.5,3,564.3333333333334,377,88,861,36,16.416666666666668,13,63,2001,126068,7,293.444,846,41,916.312,58,48305.42520107714,1088,8530.700679,7.840717535465956,3.272856473922729,4,430.5,220,20,24.55,26,21,106,28,158.10714285714286,29.5,46,2001,92059,54,47,7
B5.json,25,37.69192,942.298,111,83610.53760971023,458,46900,102.40174672489084,100,28,35.42857142857143,24.5,13,144.07692307692307,23,17,281,51,34.76470588235294,23,53,2007,106414,7,321.466,274,32,899.217,79,57162.12774,68,6900,101.47058823529412,100,8,413.375,213.5,20,43.1,25.5,7,83,25,172,23,40,2008,80341,38,47,-9
C1.json,19,29.42178947368421,559.014,5,22806.17808,1195,4078,3.412552301,2,1,27,27,0,0,0,0,0,2,26.5,26.5,24,2030,52397,0,0,0,0,853.893,77,68666.01842196134,1705,9210,5.401759530791788,3,18,125.11111111111111,25.5,18,25.83333333333333,25.5,8,67,25,99.52,25,38,2002,83042,59,57,2
C2.json,19,29.42178947368421,559.014,5,22806.17808,1195,4078,3.412552301,2,1,27,27,0,0,0,0,0,2,26.5,26.5,24,2030,52397,0,0,0,0,853.893,77,68666.01842196134,1705,9210,5.401759530791788,3,18,125.11111111111111,25.5,18,25.83333333333333,25.5,8,67,25,99.52,25,38,2002,83042,52,54,-2
C3.json,18,34.453722222222225,620.167,2,17461.107622721043,56,7466.666210937507,133.33332519531265,133.3333251953125,0,0,0,0,0,0,7,36,0,0,0,19,2348,45383,1,23.309,36,36,615.145,75,60945.97116924802,206,27999.998291015527,135.92232180104625,133.3333251953125,16,25.8125,25.5,16,25.8125,25.5,67,97,20,24.45,24,44,2011,95700,63,40,23
C4.json,8,36.522625,292.181,25,38679.833825512665,346,43600,126.0115606936416,100,1,377,377,7,974.2857142857144,391,23,19,4,316.25,383,27,2007,54190,2,55.251000000000005,12,6,289.214,15,23272.46009590542,56,5800,103.57142857142856,100,6,1061.3333333333333,1095.5,1,470,470,0,0,15,913.3333333333334,377,9,2009,18082,65,39,26
C5.json,0,0,938.919,68,68885.52236721007,386,44000,113.98963730569947,100,3,490.3333333333333,25,8,34.625,26.5,44,548,26,168.30769230769232,77.5,55,2012,124316,0,0,0,0,923.115,65,66238.34849045219,386,44000,113.98963730569947,100,3,490.3333333333333,25,8,34.625,26.5,44,548,26,168.30769230769232,77.5,52,2013.5,118304,69,37,32
C6.json,20,49.7158,994.316,74,59400.815350355086,298,37132.38159179688,124.60530735502309,58.94317626953125,2,23.5,23.5,4,451,261.5,141,629,34,20.323529411764707,19,46,2002,102099,6,1219.514,1239,82,981.921,87,73830.29278360413,112,5964.327392578125,53.25292314801897,11.88201904296875,17,124.58823529411764,26,16,24.3125,25.5,10,75,42,68.71428571428571,23,31,2128,71757,64,40,24
C7.json,3,148.001,444.003,5,7440.157439795856,648,7978,12.311728395061728,4,0,0,0,0,0,0,35,216,0,0,0,25,2007,51072,2,65.076,214,107,441.503,33,19090.002305662478,1232,20539,16.671266233766232,5,15,24.133333333333333,25,15,24.133333333333333,25,4,70,15,24.133333333333333,25,18,2007,36150,65,24,41
D1.json,14,55.46471428571429,776.506,118,80358.42305258401,458,63800,139.3013100436681,100,9,48.66666666666666,14,9,159.44444444444446,14,70,1020,77,89.79220779220779,46,61,2004,125666,6,422.951,1015,181.5,779.544,16,22003.47426809568,43,4400,102.32558139534883,100,3,889.3333333333334,1299,1,337,337,1,53,7,848.5714285714286,1299,13,2115,29741,32,55,-23
D2.json,5,29.7698,148.849,49,37096.48100286348,1937,30529.999338280144,15.761486493691349,11.818181562029627,0,0,0,3,638.6666666666666,388,0,29,23,70.43478260869566,27,12,2004,30201,0,0,0,0,326.646,42,27403.17145715919,679,7341.600000000017,10.812371134020642,8,4,177.75,180.5,5,32,37,14,8,9,249.66666666666663,337,20,2002,44173,50,49,1
D3.json,20,39.0658,781.316,49,27955.898215731584,609,9999,16.41871921182266,5,13,28.07692307692308,23,6,231,19.5,103,590,19,33.473684210526315,23,65,2001,130129,7,435.134,586,43,772.593,40,37322.71426817231,793,9073,11.441361916771752,7,12,126.83333333333331,18,16,21.25,19.5,15,80,20,289.7,18,47,2001,94138,38,62,-24
D4.json,7,70.42185714285714,492.953,10,12767.19202388104,161,5250,32.608695652173914,8,3,6,5,1,1339,1339,8,8,4,5.25,4,20,2003,40069,2,80.82,8,4,492.685,115,80501.90576763754,608,16025.542564630514,26.357800270773872,4.392003695170085,24,89.04166666666667,19.5,18,38.27777777777778,19.5,39,78,52,75.96153846153847,23.5,34,2004,68133,22,62,-40
D5.json,15,80.22286666666668,1203.343,72,105616.20385549188,590,63800,108.1355932,100,3,21,21,2,396.5,396.5,68,391,37,78.32432432432432,66,70,2006.5,147291,5,233.262,391,67,1202.145,126,84161.14161268728,60,6000,100,100,13,80.07692307692308,21,15,21.8,21,11,72,55,158.27272727272728,24,38,2010,80909,43,67,-24
D6.json,4,60.1645,240.658,10,5352.501218352387,486,10135,20.85390946502057,8,1,337,337,1,1339,1339,17,309,2,337,337,12,2001.5,24965,1,84.692,280,280,243.863,8,8692.056666460903,240,2756,11.483333333333333,6,1,1339,1339,1,337,337,1,53,2,1339,1339,13,2001,26019,43,44,-1
