,Pearson Coeff,MSE,MAE
average_copy_length_gpt,-0.17710079117495114,549.2740355654894,19.45776406970128
average_highlight_length_gpt,-0.03678514467128349,543.5828976066382,19.328464964155504
average_mousewheel_distance_gpt,-0.05222661959891434,544.2091967136234,19.27353564249762
average_paste_length_gpt,0.3242627979073146,528.9389594416917,19.18832052312675
average_prompt_duration_gpt,-0.03908540086774011,543.676194937912,19.360284593977866
click_count_gpt,0.21476375352110794,533.3801902202421,19.067085181235186
copy_count_gpt,0.3850088786527294,526.4751264010006,18.915130772602012
delete_count_gpt,-0.01583491894472796,542.7331661059123,19.417615132467294
highlight_count_gpt,0.3823427290552184,526.5832642000021,18.93061754113643
idle_count_gpt,0.23535269766248096,532.5451121341174,19.177234287796555
keypress_count_gpt,-0.020518298885969177,542.9231218380309,19.4250865457335
med_copy_length_gpt_gpt,-0.18002897219168354,549.3928012380993,19.466240118529125
med_highlight_length_gpt,-0.0560425242956918,544.3639680495957,19.409854704650506
med_idle_duration_gpt,-0.14244230449802908,547.8683033179583,19.316077771734083
med_mousewheel_distance_gpt,0.011528678204076548,541.6233112158504,19.20155052310212
med_paste_length_gpt,0.3205240801528396,529.0906001108552,19.13385413154034
med_prompt_duration_gpt,-0.12793742856664686,547.2799922346369,19.410526074933163
mousewheel_count_gpt,0.3474046084763747,528.000338269728,19.11923842126936
paste_count_gpt,-0.11671053029838838,546.8246344147021,19.2741373760168
total_focus_time_gpt,,541.0909090909091,19.21212121212121
total_idle_duration_gpt,0.2179597913182719,533.2505604000575,19.16828286100312
total_mouse_movement_gpt,0.1545666865569144,535.8217555149754,19.185802486066635
total_mousewheel_distance_gpt,0.2826391662614612,530.6271947593316,19.175195212588697
total_working_time_gpt,-0.23193526829087802,551.4980966872836,19.495340222081893
totaltime_gpt,-0.23193526829087802,551.4980966872836,19.495340222081893
_gptwindowswitch_count,0.18971994806662523,534.3959554282394,19.01486528639269
_gpt,-0.2140701163697662,550.7734943583747,19.345673035185094
average_copy_length_tasksheet,0.3284638976681825,528.768564771434,19.024709900377815
average_highlight_length_tasksheet,0.27067261204469645,531.1125526836732,19.037528193725024
average_mousewheel_distance_tasksheet,-0.07005722039213112,544.9323976647072,19.332105500819242
average_paste_length_tasksheet,0.14557808443548462,536.1863290746957,19.06822648504558
click_count_tasksheet,0.03739487609742789,540.5741901495254,19.321820404033584
copy_count_tasksheet,-0.13112948539357355,547.4094605885034,19.377010796752813
delete_count_tasksheet,-0.17118472635945386,549.0340827029438,19.27709180377482
highlight_count_tasksheet,0.04963704075130462,540.0776535928673,19.293422239036552
idle_count_tasksheet,-0.058423957712482266,544.4605578915161,19.431635595871526
keypress_count_tasksheet,-0.29821107278949543,554.1862127750757,19.37993638200268
med_copy_length_tasksheet,0.27823389821040523,530.80587040135,19.028472986490506
med_highlight_length_tasksheet,0.3131922347672148,529.3879763808742,18.982419482981346
med_idle_duration_tasksheet,-0.1964072377976545,550.0570961432855,19.373921544780533
med_mousewheel_distance_tasksheet,-0.0847777558766906,545.5294558001206,19.339327184612962
med_paste_length_tasksheet,0.15253015433407427,535.9043563234143,19.05839402176262
mousewheel_count_tasksheet,-0.1526681642124572,548.2830594754703,19.3240576339787
paste_count_tasksheet,-0.001764294174637443,542.1624680495715,19.33968283408482
total_idle_duration_tasksheet,-0.07313063750850474,545.0570540465876,19.423227218153674
total_mouse_movement_tasksheet,-0.08597095785141895,545.5778515223379,19.35305881299331
total_mousewheel_distance_tasksheet,-0.154028305769348,548.3382261902075,19.324199758045204
total_working_time_tasksheet,-0.23000683241130862,551.4198802167124,19.494264725715183
score_AI,0.7794140665039333,510.47823374021556,18.504247497132724
score_alone,-0.7442974470520558,572.2792705398462,19.519112714520325
